student_id,attendance
1,88
2,72
3,91
4,48
5,82
6,78
7,94
8,52
9,85
10,73
11,89
12,76
13,92
14,45
15,84
16,79
17,87
18,71
19,90
20,39
21,83
22,77
23,93
24,51
25,81
26,75
27,86
28,70
29,95
30,35
31,80
32,78
33,89
34,66
35,85
36,73
37,91
38,69
39,87
40,72
41,84
42,76
43,90
44,68
45,82
46,79
47,88
48,71
49,93
50,42
51,83
52,74
53,87
54,70
55,92
56,37
57,81
58,75
59,89
60,68
61,86
62,72
63,91
64,66
65,84
66,77
67,90
68,69
69,85
70,73
71,88
72,70
73,94
74,33
75,82
76,78
77,87
78,71
79,89
80,74
81,83
82,76
83,92
84,68
85,85
86,73
87,88
88,70
89,91
90,40
91,84
92,75
93,90
94,69
95,86
96,72
97,89
98,66
99,83
100,77
101,87
102,71
103,93
104,38
105,81
106,74
107,88
108,68
109,85
110,73
111,90
112,69
113,84
114,76
115,89
116,70
117,92
118,44
119,83
120,75
121,87
122,71
123,91
124,66
125,85
126,72
127,88
128,70
129,94
130,31
131,82
132,78
133,89
134,69
135,86
136,73
137,90
138,68
139,84
140,76
141,88
142,70
143,93
144,41
145,81
146,75
147,87
148,71
149,92
150,36
151,85
152,74
153,89
154,69
155,83
156,77
157,91
158,66
159,84
160,72
161,87
162,70
163,90
164,68
165,86
166,73
167,88
168,71
169,94
170,34
171,82
172,76
173,89
174,69
175,85
176,74
177,91
178,67
179,83
180,75
181,88
182,70
183,92
184,66
185,84
186,72
187,87
188,71
189,90
190,68
191,86
192,73
193,89
194,69
195,85
196,77
197,93
198,39
199,81
200,75
201,88
202,70
203,91
204,67
205,84
206,72
207,87
208,71
209,90
210,68
211,86
212,74
213,89
214,69
215,83
216,76
217,92
218,45
219,85
220,73
221,88
222,70
223,94
224,43
225,82
226,78
227,87
228,71
229,89
230,74
231,84
232,76
233,91
234,68
235,86
236,72
237,90
238,69
239,85
240,73
241,88
242,70
243,93
244,38
245,81
246,75
247,89
248,67
249,83
250,77
