student_id,test1,test2,test3
1,85,88,82
2,72,68,75
3,92,90,95
4,42,38,45
5,78,82,80
6,74,70,77
7,88,91,87
8,48,44,51
9,83,86,81
10,70,73,69
11,89,87,92
12,76,74,79
13,91,93,90
14,35,39,32
15,80,84,78
16,75,77,73
17,86,88,85
18,68,71,66
19,90,89,93
20,28,31,25
21,81,83,79
22,73,76,71
23,94,92,96
24,44,41,47
25,79,82,77
26,71,74,70
27,87,85,89
28,66,69,64
29,93,91,94
30,22,20,26
31,78,80,76
32,75,73,78
33,88,90,86
34,60,63,58
35,82,84,81
36,69,72,67
37,91,89,93
38,64,61,66
39,85,87,83
40,71,68,73
41,80,82,79
42,74,77,72
43,89,91,88
44,63,60,65
45,77,79,75
46,76,74,78
47,87,85,89
48,67,70,65
49,92,94,91
50,36,33,39
51,79,81,77
52,70,73,69
53,86,88,84
54,65,62,67
55,90,92,89
56,25,29,22
57,78,80,76
58,72,70,74
59,88,86,90
60,61,64,59
61,83,85,82
62,69,72,68
63,91,93,90
64,58,55,60
65,81,79,83
66,74,76,73
67,89,87,91
68,66,63,68
69,84,86,83
70,70,73,71
71,87,89,85
72,67,70,65
73,93,91,94
74,20,18,24
75,77,79,75
76,75,73,77
77,88,90,86
78,68,65,70
79,89,87,91
80,71,74,69
81,80,82,78
82,73,76,72
83,92,94,90
84,62,59,64
85,84,82,86
86,70,68,72
87,87,85,88
88,65,68,63
89,91,89,92
90,31,28,34
91,79,81,77
92,72,70,74
93,90,92,89
94,64,61,66
95,83,85,81
96,69,72,67
97,88,90,87
98,60,63,58
99,81,79,83
100,74,77,73
101,86,88,85
102,66,69,64
103,93,91,95
104,26,23,29
105,78,80,76
106,71,74,70
107,89,87,91
108,63,60,65
109,82,84,80
110,70,73,68
111,90,92,88
112,65,62,67
113,79,81,77
114,75,73,78
115,88,90,86
116,68,65,70
117,91,93,89
118,38,35,41
119,80,82,78
120,72,70,74
121,87,85,89
122,67,70,64
123,92,90,94
124,59,56,61
125,83,85,81
126,69,72,68
127,86,88,84
128,66,63,68
129,94,92,95
130,19,17,22
131,77,79,75
132,74,76,72
133,89,87,91
134,64,61,66
135,82,84,80
136,71,68,73
137,90,88,92
138,62,59,64
139,78,80,76
140,73,76,71
141,87,89,85
142,65,68,63
143,93,91,94
144,33,30,36
145,76,78,74
146,72,70,75
147,88,90,86
148,67,64,69
149,91,93,90
150,24,27,21
151,81,79,83
152,70,73,69
153,89,87,91
154,63,60,65
155,80,82,78
156,74,77,72
157,92,94,90
158,58,55,60
159,79,81,77
160,68,71,66
161,86,88,84
162,65,62,67
163,90,92,89
164,61,64,59
165,83,85,81
166,69,72,67
167,87,85,89
168,66,63,68
169,94,92,95
170,21,19,25
171,77,79,75
172,73,76,71
173,88,90,86
174,64,61,66
175,82,84,80
176,70,73,68
177,91,89,93
178,57,54,59
179,78,80,76
180,72,70,74
181,87,89,85
182,65,68,63
183,92,90,94
184,60,63,58
185,79,81,77
186,68,71,66
187,86,88,84
188,67,64,69
189,89,87,91
190,62,59,64
191,81,83,79
192,69,72,67
193,88,90,86
194,63,60,65
195,80,82,78
196,73,76,72
197,93,91,95
198,29,26,32
199,77,79,75
200,71,74,70
201,87,85,89
202,66,63,68
203,91,93,90
204,55,58,53
205,78,80,76
206,70,68,72
207,86,88,84
208,64,61,66
209,89,87,91
210,59,56,61
211,82,84,80
212,69,72,67
213,88,90,86
214,65,62,67
215,79,81,77
216,74,77,72
217,92,94,90
218,40,37,43
219,81,83,79
220,68,71,66
221,87,89,85
222,63,60,65
223,94,92,95
224,23,20,27
225,76,78,74
226,75,73,77
227,88,90,86
228,66,69,64
229,89,87,91
230,70,73,68
231,80,82,78
232,72,70,74
233,91,93,90
234,61,64,59
235,83,85,81
236,67,70,65
237,90,92,88
238,64,61,66
239,82,84,80
240,69,72,67
241,87,85,89
242,65,68,63
243,93,91,94
244,30,28,33
245,77,79,75
246,71,74,70
247,88,90,86
248,62,59,64
249,79,81,77
250,73,76,72
